name,association,experiment,image,image.label,intensity,location,position,shape,shape.length,shape.roundness,shape.width.max,shape.width.mean,shape.width.min,zscore
b108,0,p207_clscellshape_20240726,p207_cellshape_20240418,- p207_cellshape_20240418_wt_b_Image008_ch00,16012.8,(x=72.71 y=55.70),1,1,1.933103,0.48774397,0.8173711,0.8141638,0.80762696,5.3907804
b109,0,p207_clscellshape_20240726,p207_cellshape_20240418,- p207_cellshape_20240418_wt_b_Image008_ch00,16911.174,(x=73.47 y=15.65),1,1,3.6896768,0.25310495,0.7670059,0.76610804,0.76018596,5.1297164
b110,0,p207_clscellshape_20240726,p207_cellshape_20240418,- p207_cellshape_20240418_wt_b_Image008_ch00,16770.424,(x=74.70 y=46.32),1,1,1.938554,0.4359505,0.7909484,0.76016057,0.71384364,5.1706176
b111,0,p207_clscellshape_20240726,p207_cellshape_20240418,- p207_cellshape_20240418_wt_b_Image008_ch00,16420.572,(x=75.15 y=66.79),1,1,1.7664515,0.4962881,0.76523703,0.76276726,0.7589733,5.2722836
b112,0,p207_clscellshape_20240726,p207_cellshape_20240418,- p207_cellshape_20240418_wt_b_Image008_ch00,14882.203,(x=75.03 y=102.02),1,1,1.8027549,0.55124974,0.877404,0.8749129,0.87092674,5.719328
b113,0,p207_clscellshape_20240726,p207_cellshape_20240418,- p207_cellshape_20240418_wt_b_Image008_ch00,15458.743,(x=75.41 y=18.72),1,1,2.3602688,0.38819376,0.7765227,0.77473766,0.769618,5.5517874
b114,0,p207_clscellshape_20240726,p207_cellshape_20240418,- p207_cellshape_20240418_wt_b_Image008_ch00,16814.07,(x=76.86 y=36.83),1,1,2.6450505,0.3689439,0.8256528,0.82401615,0.81566644,5.157934
b115,0,p207_clscellshape_20240726,p207_cellshape_20240418,- p207_cellshape_20240418_wt_b_Image008_ch00,16239.748,(x=76.41 y=64.13),1,1,3.3927262,0.27868626,0.78438723,0.78306955,0.77676135,5.32483
b116,0,p207_clscellshape_20240726,p207_cellshape_20240418,- p207_cellshape_20240418_wt_b_Image008_ch00,16547.973,(x=78.15 y=4.83),1,1,2.029754,0.4467464,0.78159434,0.7793456,0.77484995,5.235261
b117,0,p207_clscellshape_20240726,p207_cellshape_20240418,- p207_cellshape_20240418_wt_b_Image008_ch00,15776.244,(x=78.25 y=72.78),1,1,1.6865371,0.56267023,0.8405107,0.8368848,0.83135056,5.4595227
b118,0,p207_clscellshape_20240726,p207_cellshape_20240418,- p207_cellshape_20240418_wt_b_Image008_ch00,17165.44,(x=78.28 y=31.52),1,1,3.4240913,0.28553674,0.7939018,0.79267097,0.7860352,5.0558276
b119,0,p207_clscellshape_20240726,p207_cellshape_20240418,- p207_cellshape_20240418_wt_b_Image008_ch00,15429.2,(x=79.64 y=44.98),1,1,2.1315856,0.4766651,0.87898326,0.87542003,0.862161,5.5603724
b120,0,p207_clscellshape_20240726,p207_cellshape_20240418,- p207_cellshape_20240418_wt_b_Image008_ch00,15326.264,(x=81.43 y=8.76),1,1,1.7038525,0.57767344,0.8769626,0.87245584,0.8612716,5.5902853
b121,0,p207_clscellshape_20240726,p207_cellshape_20240418,- p207_cellshape_20240418_wt_b_Image008_ch00,15637.028,(x=81.45 y=36.35),1,1,2.1784968,0.44419873,0.83355486,0.8309924,0.8245905,5.499978
b122,0,p207_clscellshape_20240726,p207_cellshape_20240418,- p207_cellshape_20240418_wt_b_Image008_ch00,15636.694,(x=82.45 y=47.04),1,1,2.2285414,0.4405364,0.84110254,0.83901614,0.8294829,5.5000753
b123,0,p207_clscellshape_20240726,p207_cellshape_20240418,- p207_cellshape_20240418_wt_b_Image008_ch00,15934.477,(x=82.72 y=48.58),1,1,1.7175514,0.550854,0.83625835,0.8326094,0.8271132,5.413541
b124,0,p207_clscellshape_20240726,p207_cellshape_20240418,- p207_cellshape_20240418_wt_b_Image008_ch00,17492.201,(x=83.38 y=76.56),1,1,3.7629387,0.25059277,0.77702045,0.77617675,0.7707675,4.9608717
b125,0,p207_clscellshape_20240726,p207_cellshape_20240418,- p207_cellshape_20240418_wt_b_Image008_ch00,17363.777,(x=84.46 y=3.74),1,1,3.1767268,0.3028508,0.8009537,0.7996039,0.79276246,4.9981914
b127,0,p207_clscellshape_20240726,p207_cellshape_20240418,- p207_cellshape_20240418_wt_b_Image008_ch00,16396.174,(x=85.90 y=67.00),1,1,2.8766267,0.29436132,0.70222604,0.70080435,0.6945094,5.279373
b128,0,p207_clscellshape_20240726,p207_cellshape_20240418,- p207_cellshape_20240418_wt_b_Image008_ch00,15314.649,(x=85.93 y=72.58),1,1,1.8203238,0.5691378,0.9837923,0.94937766,0.9097077,5.5936604
b129,0,p207_clscellshape_20240726,p207_cellshape_20240418,- p207_cellshape_20240418_wt_b_Image008_ch00,16124.689,(x=89.44 y=102.28),1,1,1.5926988,0.5343584,0.7501748,0.74727,0.7443521,5.358266
b131,0,p207_clscellshape_20240726,p207_cellshape_20240418,- p207_cellshape_20240418_wt_b_Image008_ch00,17338.76,(x=91.56 y=64.59),1,1,3.0027564,0.324652,0.81197935,0.81045914,0.80377346,5.005461
b132,0,p207_clscellshape_20240726,p207_cellshape_20240418,- p207_cellshape_20240418_wt_b_Image008_ch00,16657.334,(x=91.01 y=102.05),1,1,2.439296,0.37861457,0.7799591,0.7780864,0.7726296,5.203481
b133,0,p207_clscellshape_20240726,p207_cellshape_20240418,- p207_cellshape_20240418_wt_b_Image008_ch00,16400,(x=92.99 y=84.27),1,1,2.6654232,0.3795685,0.8549562,0.852188,0.8414136,5.2782617
b135,0,p207_clscellshape_20240726,p207_cellshape_20240418,- p207_cellshape_20240418_wt_b_Image008_ch00,15326.667,(x=95.44 y=15.90),1,1,2.3652296,0.41909045,0.848355,0.84610355,0.83669573,5.5901685
b136,0,p207_clscellshape_20240726,p207_cellshape_20240418,- p207_cellshape_20240418_wt_b_Image008_ch00,15996.563,(x=95.46 y=35.37),1,1,1.9681396,0.4990456,0.8572856,0.8543359,0.84564865,5.3954988
b137,0,p207_clscellshape_20240726,p207_cellshape_20240418,- p207_cellshape_20240418_wt_b_Image008_ch00,17844.916,(x=97.87 y=43.18),1,1,2.7813544,0.2794203,0.644382,0.64342606,0.63913953,4.858374
b138,0,p207_clscellshape_20240726,p207_cellshape_20240418,- p207_cellshape_20240418_wt_b_Image008_ch00,17177.152,(x=98.53 y=71.12),1,1,3.2621298,0.3071038,0.83471936,0.8331925,0.8240717,5.052424
b139,0,p207_clscellshape_20240726,p207_cellshape_20240418,- p207_cellshape_20240418_wt_b_Image008_ch00,16710.09,(x=101.53 y=22.10),1,1,3.4061308,0.26896262,0.75713784,0.75616616,0.75080156,5.188151
b140,0,p207_clscellshape_20240726,p207_cellshape_20240418,- p207_cellshape_20240418_wt_b_Image008_ch00,16327.24,(x=102.20 y=78.09),1,1,3.2867782,0.27101776,0.7354891,0.7339903,0.7244591,5.2994056
b141,0,p207_clscellshape_20240726,p207_cellshape_20240418,- p207_cellshape_20240418_wt_b_Image008_ch00,16040.401,(x=102.48 y=24.01),1,1,3.7842305,0.25062314,0.7786424,0.7776402,0.7711906,5.3827596
b142,0,p207_clscellshape_20240726,p207_cellshape_20240418,- p207_cellshape_20240418_wt_b_Image008_ch00,15731.77,(x=101.79 y=95.03),1,1,2.5347679,0.38764364,0.8348387,0.8328633,0.8259282,5.472447
b143,0,p207_clscellshape_20240726,p207_cellshape_20240418,- p207_cellshape_20240418_wt_b_Image008_ch00,17113.766,(x=104.39 y=36.10),1,1,3.3072321,0.2799224,0.7536551,0.7526111,0.7474777,5.0708437
b145,0,p207_clscellshape_20240726,p207_cellshape_20240418,- p207_cellshape_20240418_wt_b_Image008_ch00,17500,(x=104.28 y=1.14),1,1,3.4027417,0.25226387,0.70823586,0.7071222,0.7004518,4.958606
b147,0,p207_clscellshape_20240726,p207_cellshape_20240418,- p207_cellshape_20240418_wt_b_Image008_ch00,16563.766,(x=104.22 y=75.87),1,1,2.973327,0.32875827,0.8167228,0.81521964,0.80848,5.230672
b148,0,p207_clscellshape_20240726,p207_cellshape_20240418,- p207_cellshape_20240418_wt_b_Image008_ch00,15498.125,(x=105.44 y=34.41),1,1,1.8231648,0.5167305,0.8247799,0.82122433,0.815534,5.5403433
b149,0,p207_clscellshape_20240726,p207_cellshape_20240418,- p207_cellshape_20240418_wt_b_Image008_ch00,17064.787,(x=106.95 y=32.48),1,1,3.0717466,0.25953877,0.65799433,0.65696865,0.6520332,5.085077
