"Time","wellID","od","rowID","colID","abx","abx_conc","strain","replicate","abx_cond","str_abx_cond"
14.8347222222222,"B1",0.366,"B","1","monensin","0.8","wt","2","monensin_0.8","wt2_monensin_0.8"
15.0013888888889,"B1",0.3577,"B","1","monensin","0.8","wt","2","monensin_0.8","wt2_monensin_0.8"
15.1680555555556,"B1",0.3527,"B","1","monensin","0.8","wt","2","monensin_0.8","wt2_monensin_0.8"
15.3347222222222,"B1",0.3472,"B","1","monensin","0.8","wt","2","monensin_0.8","wt2_monensin_0.8"
15.5013888888889,"B1",0.3464,"B","1","monensin","0.8","wt","2","monensin_0.8","wt2_monensin_0.8"
15.6680555555556,"B1",0.3388,"B","1","monensin","0.8","wt","2","monensin_0.8","wt2_monensin_0.8"
15.8347222222222,"B1",0.3362,"B","1","monensin","0.8","wt","2","monensin_0.8","wt2_monensin_0.8"
16.0013888888889,"B1",0.3266,"B","1","monensin","0.8","wt","2","monensin_0.8","wt2_monensin_0.8"
16.1680555555556,"B1",0.3208,"B","1","monensin","0.8","wt","2","monensin_0.8","wt2_monensin_0.8"
16.3347222222222,"B1",0.3187,"B","1","monensin","0.8","wt","2","monensin_0.8","wt2_monensin_0.8"
16.5016666666667,"B1",0.3098,"B","1","monensin","0.8","wt","2","monensin_0.8","wt2_monensin_0.8"
16.6683333333333,"B1",0.3043,"B","1","monensin","0.8","wt","2","monensin_0.8","wt2_monensin_0.8"
16.835,"B1",0.2984,"B","1","monensin","0.8","wt","2","monensin_0.8","wt2_monensin_0.8"
17.0016666666667,"B1",0.291,"B","1","monensin","0.8","wt","2","monensin_0.8","wt2_monensin_0.8"
17.1683333333333,"B1",0.2845,"B","1","monensin","0.8","wt","2","monensin_0.8","wt2_monensin_0.8"
17.335,"B1",0.2746,"B","1","monensin","0.8","wt","2","monensin_0.8","wt2_monensin_0.8"
17.5016666666667,"B1",0.2662,"B","1","monensin","0.8","wt","2","monensin_0.8","wt2_monensin_0.8"
17.6683333333333,"B1",0.2569,"B","1","monensin","0.8","wt","2","monensin_0.8","wt2_monensin_0.8"
17.835,"B1",0.2513,"B","1","monensin","0.8","wt","2","monensin_0.8","wt2_monensin_0.8"
18.0016666666667,"B1",0.243,"B","1","monensin","0.8","wt","2","monensin_0.8","wt2_monensin_0.8"
18.1683333333333,"B1",0.236,"B","1","monensin","0.8","wt","2","monensin_0.8","wt2_monensin_0.8"
18.335,"B1",0.2308,"B","1","monensin","0.8","wt","2","monensin_0.8","wt2_monensin_0.8"
18.5016666666667,"B1",0.2248,"B","1","monensin","0.8","wt","2","monensin_0.8","wt2_monensin_0.8"
18.6683333333333,"B1",0.2206,"B","1","monensin","0.8","wt","2","monensin_0.8","wt2_monensin_0.8"
18.8352777777778,"B1",0.2189,"B","1","monensin","0.8","wt","2","monensin_0.8","wt2_monensin_0.8"
19.0019444444444,"B1",0.2136,"B","1","monensin","0.8","wt","2","monensin_0.8","wt2_monensin_0.8"
19.1686111111111,"B1",0.2051,"B","1","monensin","0.8","wt","2","monensin_0.8","wt2_monensin_0.8"
19.3352777777778,"B1",0.2013,"B","1","monensin","0.8","wt","2","monensin_0.8","wt2_monensin_0.8"
